dimension,time,l1_misses,l2_misses
600,0.173,27172532,58055068
1000,0.81,125563241,266504724
1400,2.596,344883151,727051775
1800,5.65,737279058,1538298840
2200,10.448,2072769000,2801149669
2600,17.373,4414861665,4624084609
3000,26.529,6778590305,7021324083
4096,67.157,17690630310,18033744019
6144,223.682,59626602635,61327226256
8192,534.435,141237668769,150480108620
10240,1044.108,275714586123,300590227244
