dimension,time,l1_misses,l2_misses
600,0.281,5397565,5447147
1000,0.869,14712879,18907646
1400,2.402,37570068,45488900
1800,5.51,83895824,89439677
2200,10.86,177572102,154929712
2600,17.344,486763076,256408044
3000,26.821,1736195515,391698117
