dimension,time,l1_misses,l2_misses
600,0.328,312613350,75449586
1000,1.618,1129675766,168125294
1400,4.968,3096109605,419079564
1800,11.995,6579900575,906951403
2200,23.497,12002688938,1936243626
2600,40.337,19807053716,5856619363
3000,60.327,30424640468,15995363861
