dimension,time,l1_misses,l2_misses
600,0.042,18565397,2878890
1000,0.172,63682673,8503272
1400,0.592,232236836,47556510
1800,1.516,467909765,129759526
2200,3.296,900577438,377804411
2600,6.179,1316467113,686871564
3000,11.315,2309707038,1660357582
