dimension,time
600,0.098
600,0.098
600,0.104
1000,0.460
1000,0.555
1000,0.459
1400,1.626
1400,1.642
1400,1.626
1800,3.642
1800,3.593
1800,3.576
2200,6.885
2200,6.938
2200,7.014
2600,11.575
2600,11.568
2600,11.633
3000,18.270
3000,18.306
3000,17.889
4096,44.833
4096,45.851
4096,44.961
6144,152.925
6144,152.867
6144,152.758
8192,363.707
8192,365.925
8192,364.220
10240,715.256
10240,714.441
10240,713.613
